time_utc,coin,dir_raw,direction,closedPnl,px,sz,fee,builderFee,liquidation,oid,tid,crossed,hash,startPosition
2026-06-26T02:13:39.324000+00:00,ETH,Close Short,SHORT,8.42832,1523.8,0.1951,0.133782,,,479872413961,1123163910526145,True,0x52d0bd4962667500544a043e90f86f020883002efd6993d2f699689c216a4eea,-0.1951
2026-06-26T12:05:50.185000+00:00,BTC,Close Short,SHORT,1.3272,59491.0,0.01185,0.317235,,,480355670514,590918098647739,True,0xeed6caf68dcf644ff050043e98cd69014700e2dc28c28321929f76494cc33e3a,-0.01185
2026-06-28T14:41:06.226000+00:00,REZ,Close Long,LONG,0.79035,0.003083,10538.0,0.014619,,,481852466137,390400152011092,True,0xa1046e6c9eac994fa27e043ec105d402012e005239afb82144cd19bf5da0733a,10538.0
2026-06-28T14:41:06.226000+00:00,REZ,Close Long,LONG,1.396575,0.003083,18621.0,0.025833,,,481852466137,526717238030550,True,0xa1046e6c9eac994fa27e043ec105d402012e005239afb82144cd19bf5da0733a,29159.0
2026-06-29T08:55:53.945000+00:00,TRX,Close Long,LONG,0.3696,0.32401,660.0,0.09623,,,482554174207,554021952171960,True,0x36e8637a71844d113862043ecf77a002029000600c876be3dab10ecd308826fb,660.0
2026-06-29T08:55:53.945000+00:00,TRX,Close Long,LONG,0.13384,0.32401,239.0,0.034847,,,482554174207,830220007075592,True,0x36e8637a71844d113862043ecf77a002029000600c876be3dab10ecd308826fb,899.0
2026-06-29T12:22:34.959000+00:00,CRV,Close Long,LONG,-2.47598,0.19164,1391.0,0.119957,,,482688773164,104245454809383,True,0xef4980da718f3544f0c3043ed2375b0204a900c00c82541693122c2d30830f2f,1391.0
2026-06-29T12:22:34.959000+00:00,CRV,Close Long,LONG,-0.252738,0.19171,147.8,0.01275,,,482688773164,806208250023875,True,0xef4980da718f3544f0c3043ed2375b0204a900c00c82541693122c2d30830f2f,1538.8
2026-06-29T18:23:12.709000+00:00,AERO,Close Short,SHORT,0.0033,0.47162,165.0,0.035017,,,483091135399,498406895853202,True,0x9344d3a7c1858a8094be043ed6fa18020138008d5c88a952370d7efa8089646b,-165.0
2026-06-29T20:30:46.455000+00:00,BTC,Close Short,SHORT,-6.93292,60403.0,0.00982,0.26692,,,483168861407,1039747332381331,True,0xd7f93cec61b3da65d972043ed8abfd01fa0054d1fcb6f9377bc1e83f20b7b450,-0.00982
2026-06-29T20:36:51.243000+00:00,GRASS,Close Short,SHORT,0.22764,0.47902,162.6,0.035049,,,483171485859,242688428838438,True,0x3a45e5916bae19613bbf043ed8c0b802010a007706a13833de0e90e42aa1f34b,-162.6
2026-06-30T01:04:35.778000+00:00,IMX,Close Short,SHORT,-0.00874,0.11956,218.5,0.011755,,,483302511398,759773822318009,True,0x6e619f368908b7ca6fdb043edc4c5b0203e1001c240bd69c122a4a89480c91b5,-218.5
2026-06-30T07:30:05.855000+00:00,EIGEN,Close Short,SHORT,-0.024244,0.2155,121.22,0.011755,,,483478619014,232366837239124,True,0x895ecf3e043ceae78ad8043ee16a890207a600239f3009b92d277a90c330c4d2,-121.22
2026-06-30T12:16:02.498000+00:00,WLD,Close Short,SHORT,0.268181,0.40791,127.1,0.02333,,,483623751231,689997463965691,True,0xfb9e4a609c89b8cefd18043ee534880202380046378cd7a19f66f5b35b8d92b9,-127.1
2026-06-30T13:01:02.316000+00:00,ETC,Close Short,SHORT,0.146264,6.9146,3.76,0.011699,,,483662705842,175084439077986,True,0xf7dff950096a7e16f959043ee5cd980212e60035a46d9ce99ba8a4a2c86e5801,-3.76
2026-06-30T15:25:12.297000+00:00,XMR,Close Short,SHORT,0.22344,306.13,0.084,0.011571,,,483836128895,839251876773633,True,0xa5fde2d2f0b81232a777043ee7b3a102023600b88bbb310449c68e25afbbec1d,-0.084
2026-06-30T22:14:02.142000+00:00,ZEC,Close Short,SHORT,0.2717,394.63,0.13,0.023085,,,484075942511,444902411100993,True,0x48d2cb15fdb257254a4c043eed1f8d0202ea00fb98b575f7ec9b7668bcb6310f,-0.13
