event_ts,dir,coin,tfs,align,h1,d1m,d5m,d15m,d1h,mtf,pnl,close_ts,price
2026-06-21T14:18:04.813+00:00,LONG,KAS,3,100,SIDEWAYS,LONG,LONG,SHORT,LONG,1m LONG 100% RSI45 SIDEWAYS · 5m LONG 100% RSI43 SIDEWAYS · 15m SHORT 100% RSI41 SIDEWAYS · 1h LONG 100% RSI50 SIDEWAYS,0.023606,2026-06-21T14:29:21.485+00:00,0.029769
2026-06-21T14:20:49.704+00:00,SHORT,UNI,3,100,SIDEWAYS,LONG,SHORT,SHORT,SHORT,1m LONG 100% RSI23 SIDEWAYS · 5m SHORT 67% RSI46 SIDEWAYS · 15m SHORT 100% RSI47 SIDEWAYS · 1h SHORT 100% RSI56 SIDEWAYS,-3.6556,2026-06-21T15:29:26.529+00:00,3.02695
2026-06-21T14:46:39.488+00:00,LONG,SUI,3,100,SIDEWAYS,LONG,HOLD,LONG,LONG,1m LONG 100% RSI51 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m LONG 100% RSI58 SIDEWAYS · 1h LONG 67% RSI50 SIDEWAYS,0.068954,2026-06-21T14:51:32.946+00:00,0.70935
2026-06-21T15:06:54.966+00:00,LONG,CELO,3,75,SIDEWAYS,LONG,HOLD,LONG,LONG,1m LONG 100% RSI0 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m LONG 100% RSI32 DOWN · 1h LONG 100% RSI48 SIDEWAYS,-0.359664,2026-06-21T16:15:49.122+00:00,0.065533
2026-06-22T06:09:28.2+00:00,SHORT,ETH,3,75,SIDEWAYS,SHORT,SHORT,HOLD,SHORT,1m SHORT 100% RSI53 SIDEWAYS · 5m SHORT 100% RSI47 DOWN · 15m HOLD 0% RSI50 SIDEWAYS · 1h SHORT 100% RSI54 SIDEWAYS,0.13194,2026-06-22T06:23:58.191+00:00,1736.05
2026-06-22T06:48:04.581+00:00,SHORT,SOL,3,100,SIDEWAYS,SHORT,HOLD,SHORT,SHORT,1m SHORT 100% RSI55 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m SHORT 100% RSI48 SIDEWAYS · 1h SHORT 100% RSI45 SIDEWAYS,0.10794,2026-06-22T06:48:28.841+00:00,73.6955
2026-06-22T10:25:18.654+00:00,LONG,BTC,3,75,UP,LONG,LONG,HOLD,LONG,1m LONG 100% RSI33 SIDEWAYS · 5m LONG 100% RSI49 SIDEWAYS · 15m HOLD 0% RSI50 SIDEWAYS · 1h LONG 100% RSI55 UP,0.09762,2026-06-22T10:31:56.962+00:00,64142.5
2026-06-22T14:42:51.612+00:00,LONG,ETH,3,75,UP,HOLD,LONG,LONG,LONG,1m HOLD 0% RSI50 SIDEWAYS · 5m LONG 100% RSI37 SIDEWAYS · 15m LONG 100% RSI53 SIDEWAYS · 1h LONG 80% RSI62 UP,,,1754.75
2026-06-22T16:19:23.16+00:00,LONG,BTC,3,75,UP,LONG,HOLD,LONG,LONG,1m LONG 100% RSI49 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m LONG 100% RSI39 SIDEWAYS · 1h LONG 80% RSI57 UP,-10.3675,2026-06-23T08:00:55.813+00:00,64720.5
2026-06-24T05:02:35.56+00:00,SHORT,BTC,3,75,SIDEWAYS,SHORT,SHORT,SHORT,HOLD,1m SHORT 100% RSI54 UP · 5m SHORT 100% RSI50 SIDEWAYS · 15m SHORT 100% RSI40 SIDEWAYS · 1h HOLD 0% RSI50 SIDEWAYS,-2.59296,2026-06-24T05:35:25.915+00:00,62761.5
2026-06-24T05:27:20.027+00:00,SHORT,ETH,3,100,SIDEWAYS,HOLD,SHORT,SHORT,SHORT,1m HOLD 0% RSI50 SIDEWAYS · 5m SHORT 100% RSI68 SIDEWAYS · 15m SHORT 100% RSI51 SIDEWAYS · 1h SHORT 100% RSI64 SIDEWAYS,-3.00058,2026-06-24T05:36:56.907+00:00,1672.35
2026-06-24T07:12:45.387+00:00,SHORT,ETH,3,75,SIDEWAYS,SHORT,SHORT,HOLD,SHORT,1m SHORT 100% RSI52 SIDEWAYS · 5m SHORT 100% RSI69 UP · 15m HOLD 0% RSI50 SIDEWAYS · 1h SHORT 100% RSI68 SIDEWAYS,0.9153,2026-06-24T07:30:21.685+00:00,1674.85
2026-06-24T08:09:17.923+00:00,SHORT,AVAX,3,75,SIDEWAYS,SHORT,HOLD,SHORT,SHORT,1m SHORT 100% RSI64 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m SHORT 100% RSI49 DOWN · 1h SHORT 100% RSI62 SIDEWAYS,0.42347,2026-06-24T08:35:00.635+00:00,6.3916
2026-06-25T10:03:32.307+00:00,SHORT,ETH,3,75,SIDEWAYS,SHORT,HOLD,SHORT,SHORT,1m SHORT 100% RSI61 SIDEWAYS · 5m HOLD 50% RSI34 DOWN · 15m SHORT 67% RSI36 SIDEWAYS · 1h SHORT 100% RSI74 SIDEWAYS,1.98048,2026-06-25T12:30:44.979+00:00,1648.25
2026-06-25T10:03:35.112+00:00,SHORT,ZEC,3,75,SIDEWAYS,LONG,SHORT,SHORT,SHORT,1m LONG 100% RSI47 SIDEWAYS · 5m SHORT 100% RSI48 DOWN · 15m SHORT 100% RSI54 SIDEWAYS · 1h SHORT 100% RSI58 SIDEWAYS,3.9606,2026-06-25T11:14:53.165+00:00,416.305
2026-06-25T11:18:47.353+00:00,SHORT,BTC,3,75,SIDEWAYS,SHORT,SHORT,LONG,SHORT,1m SHORT 100% RSI59 SIDEWAYS · 5m SHORT 67% RSI32 DOWN · 15m LONG 100% RSI23 SIDEWAYS · 1h SHORT 100% RSI54 SIDEWAYS,0.86779,2026-06-25T12:30:20.137+00:00,61310.5
2026-06-25T12:30:24.566+00:00,LONG,BTC,3,50,SIDEWAYS,SHORT,LONG,LONG,LONG,1m SHORT 100% RSI41 DOWN · 5m LONG 100% RSI35 DOWN · 15m LONG 100% RSI24 SIDEWAYS · 1h LONG 100% RSI54 SIDEWAYS,,,61286.5
2026-06-25T12:32:13.663+00:00,SHORT,HYPE,2,100,SIDEWAYS,HOLD,HOLD,SHORT,SHORT,1m HOLD 0% RSI50 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m SHORT 100% RSI46 SIDEWAYS · 1h SHORT 100% RSI45 SIDEWAYS,1.33764,2026-06-25T12:47:39.061+00:00,63.2615
2026-06-25T14:10:24.289+00:00,SHORT,AAVE,3,50,UP,SHORT,SHORT,SHORT,HOLD,1m SHORT 100% RSI83 SIDEWAYS · 5m SHORT 67% RSI39 SIDEWAYS · 15m SHORT 67% RSI50 DOWN · 1h HOLD 50% RSI56 UP,2.54592,2026-06-25T14:51:34.273+00:00,81.4245
2026-06-25T14:11:05.808+00:00,SHORT,LIT,4,50,SIDEWAYS,SHORT,SHORT,SHORT,SHORT,1m SHORT 100% RSI63 SIDEWAYS · 5m SHORT 80% RSI36 DOWN · 15m SHORT 67% RSI44 DOWN · 1h SHORT 67% RSI41 SIDEWAYS,2.256,2026-06-25T14:33:04.893+00:00,1.625
2026-06-25T14:34:00.122+00:00,SHORT,ETH,1,75,DOWN,HOLD,SHORT,HOLD,HOLD,1m HOLD 50% RSI72 UP · 5m SHORT 80% RSI36 DOWN · 15m HOLD 50% RSI27 DOWN · 1h HOLD 50% RSI35 DOWN,15.11552,2026-06-25T15:15:34.626+00:00,1587.65
2026-06-25T14:51:38.245+00:00,SHORT,BTC,2,75,DOWN,SHORT,HOLD,HOLD,SHORT,1m SHORT 100% RSI46 SIDEWAYS · 5m HOLD 50% RSI45 DOWN · 15m HOLD 50% RSI34 DOWN · 1h SHORT 67% RSI40 DOWN,1.422,2026-06-26T12:05:50.71+00:00,59584.5
2026-06-25T17:02:15.936+00:00,SHORT,AAVE,3,50,SIDEWAYS,HOLD,SHORT,SHORT,SHORT,1m HOLD 0% RSI50 SIDEWAYS · 5m SHORT 67% RSI45 DOWN · 15m SHORT 67% RSI50 DOWN · 1h SHORT 100% RSI44 SIDEWAYS,,,80.7915
2026-06-25T17:37:04.773+00:00,SHORT,ETH,1,50,DOWN,SHORT,HOLD,HOLD,HOLD,1m SHORT 100% RSI60 UP · 5m HOLD 0% RSI50 SIDEWAYS · 15m HOLD 50% RSI55 DOWN · 1h HOLD 50% RSI39 DOWN,0.0777,2026-06-25T18:21:53.457+00:00,1572.25
2026-06-25T20:36:05.002+00:00,SHORT,ETH,1,50,DOWN,SHORT,HOLD,HOLD,HOLD,1m SHORT 67% RSI38 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m HOLD 50% RSI48 DOWN · 1h HOLD 50% RSI28 DOWN,0.31184,2026-06-25T21:18:35.324+00:00,1565.15
2026-06-25T21:31:34.511+00:00,SHORT,ETH,1,50,DOWN,HOLD,SHORT,HOLD,HOLD,1m HOLD 50% RSI77 UP · 5m SHORT 100% RSI48 SIDEWAYS · 15m HOLD 0% RSI50 SIDEWAYS · 1h HOLD 50% RSI28 DOWN,7.804,2026-06-26T02:13:39.612+00:00,1567.05
2026-06-27T15:10:57.541+00:00,LONG,CRV,3,100,SIDEWAYS,,LONG,LONG,LONG,5m LONG 100% RSI46 SIDEWAYS · 15m LONG 67% RSI65 SIDEWAYS · 1h LONG 100% RSI48 SIDEWAYS,-2.728718,2026-06-29T12:22:35.603+00:00,0.19287
2026-06-27T15:11:09.088+00:00,LONG,REZ,3,67,SIDEWAYS,,LONG,LONG,LONG,5m LONG 100% RSI50 SIDEWAYS · 15m LONG 100% RSI50 DOWN · 1h LONG 100% RSI27 SIDEWAYS,2.245243,2026-06-28T14:41:06.436+00:00,0.003005
2026-06-28T16:01:51.93+00:00,LONG,TRX,2,67,UP,,HOLD,LONG,LONG,5m HOLD 0% RSI50 SIDEWAYS · 15m LONG 100% RSI37 SIDEWAYS · 1h LONG 100% RSI61 UP,0.51243,2026-06-29T08:55:54.401+00:00,0.323395
2026-06-29T16:30:33.368+00:00,SHORT,BTC,2,67,DOWN,,SHORT,HOLD,SHORT,5m SHORT 83% RSI70 SIDEWAYS · 15m HOLD 50% RSI42 DOWN · 1h SHORT 100% RSI49 DOWN,,,59652.5
2026-06-29T17:58:07.889+00:00,SHORT,AERO,3,67,DOWN,,SHORT,SHORT,SHORT,5m SHORT 100% RSI55 SIDEWAYS · 15m SHORT 75% RSI61 SIDEWAYS · 1h SHORT 100% RSI43 DOWN,0.0033,2026-06-29T18:23:13.404+00:00,0.471825
2026-06-29T20:00:08.45+00:00,SHORT,GRASS,2,100,DOWN,,SHORT,HOLD,SHORT,5m SHORT 75% RSI54 DOWN · 15m HOLD 50% RSI60 DOWN · 1h SHORT 100% RSI35 DOWN,0.22764,2026-06-29T20:36:51.945+00:00,0.48114
2026-06-30T00:48:18.556+00:00,SHORT,IMX,2,100,DOWN,,SHORT,HOLD,SHORT,5m SHORT 75% RSI41 DOWN · 15m HOLD 50% RSI46 DOWN · 1h SHORT 100% RSI42 DOWN,,,0.11956
2026-06-30T06:53:14.978+00:00,SHORT,EIGEN,2,67,DOWN,,HOLD,SHORT,SHORT,5m HOLD 0% RSI50 SIDEWAYS · 15m SHORT 100% RSI59 SIDEWAYS · 1h SHORT 100% RSI31 DOWN,0.012122,2026-06-30T07:30:06.77+00:00,0.2154
2026-06-30T12:03:02.726+00:00,SHORT,WLD,2,100,DOWN,,HOLD,SHORT,SHORT,5m HOLD 50% RSI15 DOWN · 15m SHORT 67% RSI42 DOWN · 1h SHORT 100% RSI40 DOWN,0.268181,2026-06-30T12:16:20.216+00:00,0.41022
2026-06-30T12:03:06.061+00:00,SHORT,XMR,2,100,DOWN,,HOLD,SHORT,SHORT,5m HOLD 50% RSI25 DOWN · 15m SHORT 67% RSI41 DOWN · 1h SHORT 100% RSI29 DOWN,0.22344,2026-06-30T15:25:13.247+00:00,308.795
2026-06-30T12:16:06.694+00:00,SHORT,ETC,3,100,DOWN,,SHORT,SHORT,SHORT,5m SHORT 57% RSI36 DOWN · 15m SHORT 67% RSI40 DOWN · 1h SHORT 100% RSI23 DOWN,0.146264,2026-06-30T13:01:03.485+00:00,6.9554
2026-06-30T13:08:06.969+00:00,SHORT,MORPHO,2,100,DOWN,,SHORT,HOLD,SHORT,5m SHORT 86% RSI36 DOWN · 15m HOLD 50% RSI37 DOWN · 1h SHORT 100% RSI38 DOWN,-0.96021,2026-07-01T05:58:16.962+00:00,1.84615
2026-06-30T20:25:11.748+00:00,SHORT,ZEC,2,100,DOWN,,HOLD,SHORT,SHORT,5m HOLD 50% RSI34 DOWN · 15m SHORT 57% RSI39 DOWN · 1h SHORT 100% RSI47 DOWN,0.2717,2026-06-30T22:14:14.373+00:00,396.875
